"","p.name","p.id","p.owner","track.name","track.id","added.at","track.duration","track.popularity","track.dance","track.energy","track.key","track.loudness","track.speechiness","track.acousticness","track.instrumentalness","track.liveness","track.valence","track.tempo"
"70","Mar2017","2jVR3FTITkUv6MhfGlG9V3","mark.rossi.06","Kill Satan","2zbNcBacReiKyZo7STzPZ0","2017-03-25T00:37:34Z",224000,34,0.73,0.596,7,-7.141,0.0298,0.391,0.886,0.168,0.721,120.15
"71","Mar2017","2jVR3FTITkUv6MhfGlG9V3","mark.rossi.06","Wake","7lAjH9Ci4kcTcCC5EV22vS","2017-03-25T00:45:50Z",295386,28,0.578,0.839,6,-9.991,0.0409,0.119,0.48,0.187,0.159,119.997
"72","Mar2017","2jVR3FTITkUv6MhfGlG9V3","mark.rossi.06","Up In Hudson","0A4yKvRLnSxGcEFhAHjdwW","2017-03-25T01:58:41Z",450544,53,0.672,0.733,10,-6.988,0.0771,0.379,0.0242,0.152,0.671,123.991
"73","Mar2017","2jVR3FTITkUv6MhfGlG9V3","mark.rossi.06","Evil Deeds","5X2bl2uo3g6vruHJhVFcG1","2017-03-25T15:00:17Z",178536,35,0.744,0.721,10,-6.213,0.357,0.178,0,0.0739,0.793,81.959
"74","Mar2017","2jVR3FTITkUv6MhfGlG9V3","mark.rossi.06","Nothing","40e6hiZ1el4IWAJZ83GaVu","2017-03-25T17:08:54Z",157213,21,0.406,0.753,11,-7.012,0.0462,0.157,0.0924,0.111,0.842,170.536
"75","Mar2017","2jVR3FTITkUv6MhfGlG9V3","mark.rossi.06","Ride the Black Wave","0I1F980cqXoIHLlu2btcQh","2017-03-25T17:21:26Z",200453,23,0.46,0.641,2,-8.294,0.0236,0.53,0.108,0.473,0.799,96.097
"76","Mar2017","2jVR3FTITkUv6MhfGlG9V3","mark.rossi.06","Numb","6bDnsXPoPb9vfaXry1CVql","2017-03-28T22:15:35Z",267200,51,0.84,0.81,0,-8.028,0.0706,0.0847,0.188,0.113,0.156,118.008
"77","Mar2017","2jVR3FTITkUv6MhfGlG9V3","mark.rossi.06","Stray","38AZSMHSwkhiAZsxDgQOHs","2017-03-29T02:06:51Z",223653,39,0.724,0.807,0,-2.445,0.0496,0.0308,9.28e-05,0.0708,0.677,100.898
"78","Feb2017","0JfjB7rFlxgErruxTiMRUf","mark.rossi.06","Good Friend","1sU87ggydfhSS1YyCRSZZq","2017-02-01T22:15:27Z",365546,39,0.372,0.768,3,-6.842,0.0526,0.0327,0.131,0.082,0.155,89.239
"79","Feb2017","0JfjB7rFlxgErruxTiMRUf","mark.rossi.06","The Deep","3NdwkI7uW7o4kgnbfqQh6l","2017-02-01T22:51:59Z",268308,27,0.648,0.447,0,-9.394,0.0915,0.354,3.03e-05,0.093,0.175,154.123
"80","Feb2017","0JfjB7rFlxgErruxTiMRUf","mark.rossi.06","Dreaming Of","3xvnvRDObAqZSDkPpnq5sT","2017-02-05T16:08:30Z",223526,40,0.464,0.837,4,-6.684,0.0296,0.367,0.0325,0.128,0.767,106.891
"81","Feb2017","0JfjB7rFlxgErruxTiMRUf","mark.rossi.06","Stargazer","04ax3ScDiugjjLB1od1ffg","2017-02-08T23:09:31Z",372666,32,0.271,0.788,0,-8.441,0.0372,0.0171,0.733,0.173,0.399,103.314
"82","Feb2017","0JfjB7rFlxgErruxTiMRUf","mark.rossi.06","Painter in Your Pocket","2kkJENGuusOzj1vXN3s0xO","2017-02-08T23:36:09Z",250013,48,0.566,0.511,6,-8.826,0.0614,0.674,3.02e-06,0.221,0.25,123.311
